id,value
apache.AsyncLoggerConfig$RootLogger.org-apache-logging-log4j-core-util-Booleans,100
apache.RandomAccessFileManager$FactoryData,
apache.RandomAccessFileManager$FactoryData.org-apache-logging-log4j-core-Layout,100
apache.RandomAccessFileManager$FactoryData.org-apache-logging-log4j-core-appender-RandomAccessFileManager,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble,
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-RawResults,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-ThroughputResult,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-AverageTimeResult,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-util-SampleBuffer,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-SampleTimeResult,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-SingleShotResult,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-infra-generated-Blackhole_jmh,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-apache-logging-log4j-perf-jmh-generated-FormatterLoggerBenchmark_jmh,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-runner-InfraControl,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-infra-ThreadParams,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-Result,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-infra-BenchmarkParams,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-infra-IterationParams,100
apache.FormatterLoggerBenchmark_throughputStringFormatDouble.org-openjdk-jmh-results-ResultRole,100
apache.Logger,
apache.Logger.org-apache-logging-log4j-core-LoggerContext,100
apache.Logger.org-apache-log4j-Category,100
apache.Logger.org-apache-log4j-Logger$PrivateManager,100
apache.Logger.org-apache-log4j-spi-LoggerFactory,100
apache.Logger.org-apache-logging-log4j-spi-LoggerContext,100
apache.LoaderUtil$ThreadContextClassLoaderGetter,
apache.LoaderUtil$ThreadContextClassLoaderGetter.org-apache-logging-log4j-util-LoaderUtil,100
apache.LoaderUtil$ThreadContextClassLoaderGetter.org-apache-logging-log4j-util-LoaderUtil$1,100
apache.Strings,
apache.Strings.org-apache-logging-log4j-util-Chars,100
apache.TimeFormatBenchmark_BufferState_jmh,
apache.TimeFormatBenchmark_BufferState_jmh.org-apache-logging-log4j-perf-jmh-generated-TimeFormatBenchmark_BufferState_jmh_B3,100
apache.SyslogLayout,
apache.SyslogLayout.org-apache-logging-log4j-util-Chars,100
apache.SyslogLayout.org-apache-logging-log4j-core-layout-AbstractStringLayout,100
apache.SyslogLayout.org-apache-logging-log4j-core-net-Facility,100
apache.SyslogLayout.org-apache-logging-log4j-core-LogEvent,100
apache.SyslogLayout.org-apache-logging-log4j-core-config-plugins-PluginFactory,100
apache.SyslogLayout.org-apache-logging-log4j-core-config-plugins-PluginAttribute,100
apache.SyslogLayout.org-apache-logging-log4j-core-config-plugins-Plugin,100
apache.SyslogLayout.org-apache-logging-log4j-core-util-NetUtils,100
apache.SyslogLayout.org-apache-logging-log4j-core-net-Priority,100
apache.SyslogLayout.org-apache-logging-log4j-message-Message,100
apache.SyslogLayout.org-apache-logging-log4j-Level,100
apache.Configurator,
apache.Configurator.org-apache-logging-log4j-core-impl-Log4jContextFactory,100
apache.Configurator.org-apache-logging-log4j-Logger,100
apache.Configurator.org-apache-logging-log4j-core-LoggerContext,100
apache.Configurator.org-apache-logging-log4j-core-config-ConfigurationSource,100
apache.Configurator.org-apache-logging-log4j-spi-LoggerContextFactory,100
apache.Configurator.org-apache-logging-log4j-core-util-FileUtils,100
apache.Configurator.org-apache-logging-log4j-LogManager,100
apache.Configurator.org-apache-logging-log4j-status-StatusLogger,100
apache.ConfiguratorInitializeBenchmark_jmh_B1,
apache.ConfiguratorInitializeBenchmark_jmh_B1.org-apache-logging-log4j-perf-jmh-ConfiguratorInitializeBenchmark,100
apache.Initializers,
apache.Initializers.org-apache-logging-log4j-core-jackson-Initializers$SimpleModuleInitializer,100
apache.Initializers.org-apache-logging-log4j-core-jackson-Initializers$SetupContextInitializer,100
apache.StringBuilders,
apache.StringBuilders.org-apache-logging-log4j-util-Chars,100
apache.MemoryMappedFileManager$MemoryMappedFileManagerFactory,
apache.MemoryMappedFileManager$MemoryMappedFileManagerFactory.org-apache-logging-log4j-core-appender-MemoryMappedFileManager,100
